Date,Team,Block,Plot,Treatment,Region,Transect,Distance,Hits,Notes,SpeciesCode,Type,Status,LifeForm,Volunteer,SciName,NativeStatus,CommonName,AltSciName,Plant_Family
2020-04-29,"MP, JC",1,1,E,X,2,4.5,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,2,5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,2,5,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,2,5,1,NA,EROCIC,Plant,Alive,Forb,NA,Erodium cicutarium,Non-Native,red stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,2,5,1,NA,ANAARV,Plant,Alive,Forb,NA,Lysimachia arvensis,Non-Native,scarlet pimpernel,Anagallis arvensis (old),Primulaceae
2020-04-29,"MP, JC",1,1,E,X,2,5,1,NA,BRANIG,Plant,Alive,Forb,NA,Brassica nigra,Non-Native,Black Mustard,.,Brassicaceae
2020-04-29,"MP, JC",1,1,E,X,3,1,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,3,1,1,NA,BROHOR,Plant,Alive,Grass,NA,Bromus hordeaceus,Non-Native,soft chess brome,.,Poaceae
2020-04-29,"MP, JC",1,1,E,X,3,1,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,3,1.5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,3,2,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,3,2,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,3,2.5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,3,2.5,1,NA,EROMOS,Plant,Alive,Forb,NA,Erodium moschatum,Non-Native,white stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,3,3,1,NA,B,Ground,NA,NA,NA,bare ground,NA,bare ground,NA,NA
2020-04-29,"MP, JC",1,1,E,X,3,3,1,NA,EROMOS,Plant,Alive,Forb,NA,Erodium moschatum,Non-Native,white stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,3,3,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,3,3.5,1,NA,B,Ground,NA,NA,NA,bare ground,NA,bare ground,NA,NA
2020-04-29,"MP, JC",1,1,E,X,3,4,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,3,4,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,3,4.5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,3,4.5,1,NA,EROCIC,Plant,Alive,Forb,NA,Erodium cicutarium,Non-Native,red stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,3,4.5,1,NA,BRANIG,Plant,Alive,Forb,NA,Brassica nigra,Non-Native,Black Mustard,.,Brassicaceae
2020-04-29,"MP, JC",1,1,E,X,3,4.5,1,NA,EROMOS,Plant,Alive,Forb,NA,Erodium moschatum,Non-Native,white stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,3,5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,4,1,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,4,1,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,4,1,1,NA,ERIFAS,Plant,Alive,Shrub,NA,Eriogonum fasciculatum,Native,California Buckwheat,.,Polygonaceae
2020-04-29,"MP, JC",1,1,E,X,4,1.5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,4,2,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,4,2,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,4,2,1,NA,BRANIG,Plant,Alive,Forb,NA,Brassica nigra,Non-Native,Black Mustard,.,Brassicaceae
2020-04-29,"MP, JC",1,1,E,X,4,2.5,1,NA,B,Ground,NA,NA,NA,bare ground,NA,bare ground,NA,NA
2020-04-29,"MP, JC",1,1,E,X,4,2.5,1,NA,SONASP,Plant,Alive,Forb,NA,Sonchus asper,Non-Native,pricky sowthistle,.,Asteraceae
2020-04-29,"MP, JC",1,1,E,X,4,2.5,1,NA,ANAARV,Plant,Alive,Forb,NA,Lysimachia arvensis,Non-Native,scarlet pimpernel,Anagallis arvensis (old),Primulaceae
2020-04-29,"MP, JC",1,1,E,X,4,2.5,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,4,2.5,1,NA,EROMOS,Plant,Alive,Forb,NA,Erodium moschatum,Non-Native,white stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,4,3,1,NA,B,Ground,NA,NA,NA,bare ground,NA,bare ground,NA,NA
2020-04-29,"MP, JC",1,1,E,X,4,3,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-29,"MP, JC",1,1,E,X,4,3,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,4,3,1,NA,ARTCAL,Plant,Alive,Shrub,NA,Artemisia californica,Native,California Sage brush,.,Asteraceae
2020-04-29,"MP, JC",1,1,E,X,4,3,1,NA,EROMOS,Plant,Alive,Forb,NA,Erodium moschatum,Non-Native,white stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,4,3.5,1,NA,B,Ground,NA,NA,NA,bare ground,NA,bare ground,NA,NA
2020-04-29,"MP, JC",1,1,E,X,4,3.5,1,NA,BROHOR,Plant,Alive,Grass,NA,Bromus hordeaceus,Non-Native,soft chess brome,.,Poaceae
2020-04-29,"MP, JC",1,1,E,X,4,3.5,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,4,4,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,4,4,1,NA,AVEFAT,Plant,Alive,Grass,NA,Avena fatua,Non-Native,wild oat,.,Poaceae
2020-04-29,"MP, JC",1,1,E,X,4,4,1,NA,EROCIC,Plant,Alive,Forb,NA,Erodium cicutarium,Non-Native,red stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,4,4,1,NA,EROMOS,Plant,Alive,Forb,NA,Erodium moschatum,Non-Native,white stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,4,4,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,4,4.5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,4,4.5,1,NA,EROMOS,Plant,Alive,Forb,NA,Erodium moschatum,Non-Native,white stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,4,4.5,1,NA,EROCIC,Plant,Alive,Forb,NA,Erodium cicutarium,Non-Native,red stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,4,4.5,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-29,"MP, JC",1,1,E,X,4,5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,4,5,1,NA,ARTCAL,Plant,Alive,Shrub,NA,Artemisia californica,Native,California Sage brush,.,Asteraceae
2020-04-29,"MP, JC",1,1,E,X,4,5,1,NA,EROMOS,Plant,Alive,Forb,NA,Erodium moschatum,Non-Native,white stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,4,5,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-29,"MP, JC",1,1,E,X,5,1,1,NA,B,Ground,NA,NA,NA,bare ground,NA,bare ground,NA,NA
2020-04-29,"MP, JC",1,1,E,X,5,1,1,NA,ANAARV,Plant,Alive,Forb,NA,Lysimachia arvensis,Non-Native,scarlet pimpernel,Anagallis arvensis (old),Primulaceae
2020-04-29,"MP, JC",1,1,E,X,5,1,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,5,1,1,NA,BRANIG,Plant,Alive,Forb,NA,Brassica nigra,Non-Native,Black Mustard,.,Brassicaceae
2020-04-29,"MP, JC",1,1,E,X,5,1.5,1,NA,B,Ground,NA,NA,NA,bare ground,NA,bare ground,NA,NA
2020-04-29,"MP, JC",1,1,E,X,5,1.5,1,NA,EROMOS,Plant,Alive,Forb,NA,Erodium moschatum,Non-Native,white stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,5,1.5,1,NA,BRANIG,Plant,Alive,Forb,NA,Brassica nigra,Non-Native,Black Mustard,.,Brassicaceae
2020-04-29,"MP, JC",1,1,E,X,5,2,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,5,2,1,NA,EROMOS,Plant,Alive,Forb,NA,Erodium moschatum,Non-Native,white stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,5,2.5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,5,2.5,1,NA,EROMOS,Plant,Alive,Forb,NA,Erodium moschatum,Non-Native,white stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,5,2.5,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,5,3,1,NA,B,Ground,NA,NA,NA,bare ground,NA,bare ground,NA,NA
2020-04-29,"MP, JC",1,1,E,X,5,3,1,NA,ANAARV,Plant,Alive,Forb,NA,Lysimachia arvensis,Non-Native,scarlet pimpernel,Anagallis arvensis (old),Primulaceae
2020-04-29,"MP, JC",1,1,E,X,5,3,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,5,3.5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,5,3.5,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,5,4,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,5,4,1,NA,ANAARV,Plant,Alive,Forb,NA,Lysimachia arvensis,Non-Native,scarlet pimpernel,Anagallis arvensis (old),Primulaceae
2020-04-29,"MP, JC",1,1,E,X,5,4,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,5,4.5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-29,"MP, JC",1,1,E,X,5,4.5,1,NA,BRANIG,Plant,Alive,Forb,NA,Brassica nigra,Non-Native,Black Mustard,.,Brassicaceae
2020-04-29,"MP, JC",1,1,E,X,5,4.5,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-29,"MP, JC",1,1,E,X,5,4.5,1,NA,FESMYU,Plant,Alive,Grass,NA,Festuca myuros,Non-Native,rattail grass,Vulpia myuros,Poaceae
2020-04-29,"MP, JC",1,1,E,X,5,4.5,1,NA,EROMOS,Plant,Alive,Forb,NA,Erodium moschatum,Non-Native,white stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,5,4.5,1,NA,EROCIC,Plant,Alive,Forb,NA,Erodium cicutarium,Non-Native,red stem filaree,.,Geraniaceae
2020-04-29,"MP, JC",1,1,E,X,5,5,1,NA,B,Ground,NA,NA,NA,bare ground,NA,bare ground,NA,NA
2020-04-29,"MP, JC",1,1,E,X,5,5,1,NA,ENCCAL,Plant,Dead,Shrub,NA,Encelia californica,Native,Bush sunflower,.,Asteraceae
2020-04-29,"MP, JC",1,1,E,X,5,5,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-29,"MP, JC",1,1,E,X,5,5,1,NA,EROMOS,Plant,Alive,Forb,NA,Erodium moschatum,Non-Native,white stem filaree,.,Geraniaceae
2020-04-28,"JC, MP",1,2,A,M,1,1,1,TH=DEAD MUSTARD STALKS,T,Ground,NA,NA,NA,thatch,NA,thatch,NA,NA
2020-04-28,"JC, MP",1,2,A,M,1,1,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-28,"JC, MP",1,2,A,M,1,1.5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-28,"JC, MP",1,2,A,M,1,1.5,1,NA,BROHOR,Plant,Alive,Grass,NA,Bromus hordeaceus,Non-Native,soft chess brome,.,Poaceae
2020-04-28,"JC, MP",1,2,A,M,1,1.5,1,NA,ARTCAL,Plant,Dead,Shrub,NA,Artemisia californica,Native,California Sage brush,.,Asteraceae
2020-04-28,"JC, MP",1,2,A,M,1,2,1,NA,T,Ground,NA,NA,NA,thatch,NA,thatch,NA,NA
2020-04-28,"JC, MP",1,2,A,M,1,2,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-28,"JC, MP",1,2,A,M,1,2.5,1,NA,T,Ground,NA,NA,NA,thatch,NA,thatch,NA,NA
2020-04-28,"JC, MP",1,2,A,M,1,2.5,1,NA,BROHOR,Plant,Alive,Grass,NA,Bromus hordeaceus,Non-Native,soft chess brome,.,Poaceae
2020-04-28,"JC, MP",1,2,A,M,1,2.5,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-28,"JC, MP",1,2,A,M,1,3,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-28,"JC, MP",1,2,A,M,1,3,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-28,"JC, MP",1,2,A,M,1,3.5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-28,"JC, MP",1,2,A,M,1,3.5,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-28,"JC, MP",1,2,A,M,1,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,"JC, MP",1,2,A,M,1,4,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-28,"JC, MP",1,2,A,M,1,4,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-28,"JC, MP",1,2,A,M,1,4.5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-28,"JC, MP",1,2,A,M,1,4.5,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-28,"JC, MP",1,2,A,M,1,5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-28,"JC, MP",1,2,A,M,1,5,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-28,"JC, MP",1,2,A,M,2,1,1,NA,T,Ground,NA,NA,NA,thatch,NA,thatch,NA,NA
2020-04-28,"JC, MP",1,2,A,M,2,1,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-28,"JC, MP",1,2,A,M,2,1.5,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-28,"JC, MP",1,2,A,M,2,1.5,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-28,"JC, MP",1,2,A,M,2,2,1,NA,L,Ground,NA,NA,NA,littter,NA,littter,NA,NA
2020-04-28,"JC, MP",1,2,A,M,2,2,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-28,"JC, MP",1,2,A,M,2,2.5,1,NA,T,Ground,NA,NA,NA,thatch,NA,thatch,NA,NA
2020-04-28,"JC, MP",1,2,A,M,2,2.5,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-28,"JC, MP",1,2,A,M,2,3,1,NA,T,Ground,NA,NA,NA,thatch,NA,thatch,NA,NA
2020-04-28,"JC, MP",1,2,A,M,2,3,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-28,"JC, MP",1,2,A,M,2,3.5,1,NA,T,Ground,NA,NA,NA,thatch,NA,thatch,NA,NA
2020-04-28,"JC, MP",1,2,A,M,2,3.5,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-28,"JC, MP",1,2,A,M,2,3.5,1,NA,BRANIG,Plant,Alive,Forb,NA,Brassica nigra,Non-Native,Black Mustard,.,Brassicaceae
2020-04-28,"JC, MP",1,2,A,M,2,4,1,NA,T,Ground,NA,NA,NA,thatch,NA,thatch,NA,NA
2020-04-28,"JC, MP",1,2,A,M,2,4,1,NA,HORMUR,Plant,Alive,Grass,NA,Hordeum murinum,Non-Native,foxtail barley,.,Poaceae
2020-04-28,"JC, MP",1,2,A,M,2,4,1,NA,BROMAD,Plant,Alive,Grass,NA,Bromus madritensis,Non-Native,"red brome, foxtail brome",.,Poaceae
2020-04-28,"JC, MP",1,2,A,M,2,4.5,1,NA,R,Ground,NA,NA,NA,rock,NA,rock,NA,NA
2020-04-28,"JC, MP",1,2,A,M,2,4.5,1,NA,BRANIG,Plant,Alive,Forb,NA,Brassica nigra,Non-Native,Black Mustard,.,Brassicaceae
2020-04-28,"JC, MP",1,2,A,M,2,5,1,NA,T,Ground,NA,NA,NA,thatch,NA,thatch,NA,NA
